Hospital Name,Locality,Charges,Surgery/Treatment Name,Doctor's Name,Hospital Ratings,Doctor’s Review
Apollo Hospitals,Rajahmundry,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.9,Top gynecologist
Care Hospitals,Hyderabad,"₹3,00,000",Angioplasty,Dr. Arjun Dev,3.6,Top gynecologist
Care Hospitals,Guntur,"₹1,50,000",Heart Bypass Surgery,Dr. Priya Menon,3.7,Renowned dermatologist
Andhra Hospitals,Hyderabad,"₹50,000",Chemotherapy,Dr. Neha Sharma,4.2,Top gynecologist
Sunshine Hospitals,Vijayawada,"₹50,000",Knee Replacement,Dr. Ramesh Kumar,4,Oncology expert
Rainbow Hospitals,Nellore,"₹80,000",Appendix Surgery,Dr. Anand Sharma,4,Renowned dermatologist
Rainbow Hospitals,Kakinada,"₹50,000",Chemotherapy,Dr. Arjun Dev,4.6,Oncology expert
Sunshine Hospitals,Hyderabad,"₹3,00,000",Brain Surgery,Dr. Manish Rao,4.2,Top gynecologist
Apollo Hospitals,Tirupati,"₹5,00,000",Ear Surgery,Dr. Manish Rao,4.9,Cardiac specialist
Omni Hospitals,Vijayawada,"₹80,000",Angioplasty,Dr. Ramesh Kumar,4.9,Top gynecologist
KIMS Hospitals,Hyderabad,"₹3,00,000",Knee Replacement,Dr. Anand Sharma,4.6,Pediatric specialist
KIMS Hospitals,Visakhapatnam,"₹1,50,000",Angioplasty,Dr. Meera Joshi,3.7,ENT Specialist
Care Hospitals,Nellore,"₹2,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.2,Experienced general surgeon
KIMS Hospitals,Nellore,"₹2,00,000",Brain Surgery,Dr. Manish Rao,3.7,Best neurologist
Andhra Hospitals,Guntur,"₹5,00,000",Heart Bypass Surgery,Dr. Priya Menon,4,Renowned dermatologist
Manipal Hospitals,Tirupati,"₹1,50,000",Chemotherapy,Dr. Kavitha Reddy,4.6,Best neurologist
Aayush Hospitals,Hyderabad,"₹1,50,000",Child Vaccination,Dr. Manish Rao,4.7,Oncology expert
Rainbow Hospitals,Rajahmundry,"₹80,000",C-Section Delivery,Dr. Neha Sharma,4.8,Expert in cardiology
Andhra Hospitals,Kakinada,"₹1,50,000",Ear Surgery,Dr. Priya Menon,4.5,Oncology expert
Apollo Hospitals,Hyderabad,"₹80,000",Chemotherapy,Dr. Kavitha Reddy,3.8,Experienced general surgeon
Care Hospitals,Hyderabad,"₹2,00,000",Knee Replacement,Dr. Arjun Dev,4.2,Expert in cardiology
KIMS Hospitals,Tirupati,"₹3,00,000",Angioplasty,Dr. Priya Menon,3.6,Oncology expert
Manipal Hospitals,Kakinada,"₹1,50,000",Heart Bypass Surgery,Dr. Meera Joshi,4.9,ENT Specialist
Rainbow Hospitals,Tirupati,"₹50,000",Child Vaccination,Dr. Anand Sharma,4.3,Best neurologist
Manipal Hospitals,Kakinada,"₹50,000",Angioplasty,Dr. Sneha Rao,4.1,Best orthopedic surgeon
Rainbow Hospitals,Vijayawada,"₹2,00,000",Chemotherapy,Dr. Anand Sharma,3.8,Best orthopedic surgeon
Manipal Hospitals,Nellore,"₹3,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.7,ENT Specialist
Kamineni Hospitals,Nellore,"₹1,00,000",Appendix Surgery,Dr. Ramesh Kumar,3.8,Cardiac specialist
Kamineni Hospitals,Vijayawada,"₹1,50,000",Skin Treatment,Dr. Meera Joshi,3.7,Pediatric specialist
Kamineni Hospitals,Guntur,"₹1,00,000",Brain Surgery,Dr. Anand Sharma,4,Oncology expert
Care Hospitals,Vijayawada,"₹1,00,000",Angioplasty,Dr. Arjun Dev,4.8,Expert in cardiology
Aayush Hospitals,Tirupati,"₹50,000",Chemotherapy,Dr. Kavitha Reddy,3.8,Best neurologist
Rainbow Hospitals,Rajahmundry,"₹50,000",Child Vaccination,Dr. Kavitha Reddy,4.4,Expert in cardiology
Aayush Hospitals,Tirupati,"₹3,00,000",Child Vaccination,Dr. Ramesh Kumar,4,Cardiac specialist
Aayush Hospitals,Tirupati,"₹50,000",Chemotherapy,Dr. Anand Sharma,3.8,Oncology expert
Andhra Hospitals,Kakinada,"₹1,00,000",Angioplasty,Dr. Sandeep Varma,4,Oncology expert
Rainbow Hospitals,Tirupati,"₹2,00,000",Knee Replacement,Dr. Anand Sharma,4,Experienced general surgeon
Kamineni Hospitals,Hyderabad,"₹50,000",Heart Bypass Surgery,Dr. Arjun Dev,4,Oncology expert
Kamineni Hospitals,Hyderabad,"₹1,00,000",Child Vaccination,Dr. Kavitha Reddy,4.4,Expert in cardiology
Kamineni Hospitals,Guntur,"₹50,000",Ear Surgery,Dr. Sandeep Varma,4.8,ENT Specialist
Care Hospitals,Nellore,"₹2,00,000",Appendix Surgery,Dr. Neha Sharma,4.5,Renowned dermatologist
Apollo Hospitals,Vijayawada,"₹80,000",Brain Surgery,Dr. Anand Sharma,4.7,Cardiac specialist
KIMS Hospitals,Visakhapatnam,"₹5,00,000",Ear Surgery,Dr. Meera Joshi,3.8,Top gynecologist
Kamineni Hospitals,Guntur,"₹80,000",Child Vaccination,Dr. Sneha Rao,4.3,Cardiac specialist
Care Hospitals,Nellore,"₹50,000",Child Vaccination,Dr. Sandeep Varma,5,Oncology expert
Kamineni Hospitals,Rajahmundry,"₹1,50,000",Chemotherapy,Dr. Sneha Rao,3.7,Experienced general surgeon
KIMS Hospitals,Vijayawada,"₹3,00,000",Heart Bypass Surgery,Dr. Neha Sharma,4.9,Best neurologist
Andhra Hospitals,Hyderabad,"₹5,00,000",Knee Replacement,Dr. Manish Rao,4.6,Best neurologist
Sunshine Hospitals,Kakinada,"₹2,00,000",Appendix Surgery,Dr. Kavitha Reddy,3.8,Experienced general surgeon
Omni Hospitals,Visakhapatnam,"₹1,00,000",Ear Surgery,Dr. Meera Joshi,4,Best orthopedic surgeon
Sunshine Hospitals,Visakhapatnam,"₹2,00,000",Skin Treatment,Dr. Anand Sharma,4.9,Expert in cardiology
Apollo Hospitals,Vijayawada,"₹80,000",Appendix Surgery,Dr. Kavitha Reddy,4,Cardiac specialist
Andhra Hospitals,Hyderabad,"₹1,00,000",C-Section Delivery,Dr. Meera Joshi,4.4,ENT Specialist
Andhra Hospitals,Guntur,"₹2,00,000",Knee Replacement,Dr. Manish Rao,4.3,Best neurologist
Andhra Hospitals,Tirupati,"₹50,000",Ear Surgery,Dr. Arjun Dev,4,Pediatric specialist
Omni Hospitals,Tirupati,"₹1,50,000",Ear Surgery,Dr. Anand Sharma,3.7,Cardiac specialist
Sunshine Hospitals,Guntur,"₹5,00,000",Skin Treatment,Dr. Arjun Dev,4.4,Pediatric specialist
Aayush Hospitals,Nellore,"₹1,00,000",Appendix Surgery,Dr. Meera Joshi,3.7,Pediatric specialist
Kamineni Hospitals,Guntur,"₹1,00,000",Chemotherapy,Dr. Neha Sharma,4.2,Top gynecologist
Kamineni Hospitals,Kakinada,"₹1,00,000",Knee Replacement,Dr. Kavitha Reddy,4.2,Top gynecologist
Rainbow Hospitals,Guntur,"₹1,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,3.5,Renowned dermatologist
Sunshine Hospitals,Nellore,"₹80,000",Ear Surgery,Dr. Neha Sharma,4.2,ENT Specialist
Apollo Hospitals,Tirupati,"₹80,000",Child Vaccination,Dr. Ramesh Kumar,4.7,Cardiac specialist
Omni Hospitals,Rajahmundry,"₹1,00,000",C-Section Delivery,Dr. Kavitha Reddy,4.2,Cardiac specialist
Rainbow Hospitals,Guntur,"₹50,000",C-Section Delivery,Dr. Manish Rao,3.5,Best neurologist
Rainbow Hospitals,Visakhapatnam,"₹1,50,000",Brain Surgery,Dr. Neha Sharma,4.7,ENT Specialist
Apollo Hospitals,Rajahmundry,"₹3,00,000",Child Vaccination,Dr. Manish Rao,4.4,Pediatric specialist
Manipal Hospitals,Nellore,"₹50,000",Brain Surgery,Dr. Neha Sharma,4.1,Top gynecologist
Rainbow Hospitals,Guntur,"₹3,00,000",Ear Surgery,Dr. Sandeep Varma,4.3,Renowned dermatologist
Aayush Hospitals,Guntur,"₹5,00,000",Knee Replacement,Dr. Kavitha Reddy,4.6,Oncology expert
Sunshine Hospitals,Visakhapatnam,"₹3,00,000",Skin Treatment,Dr. Neha Sharma,3.7,Cardiac specialist
Rainbow Hospitals,Nellore,"₹1,00,000",Skin Treatment,Dr. Manish Rao,4.9,Pediatric specialist
Sunshine Hospitals,Tirupati,"₹50,000",Brain Surgery,Dr. Anand Sharma,4,Oncology expert
Aayush Hospitals,Visakhapatnam,"₹3,00,000",Chemotherapy,Dr. Sandeep Varma,4.4,ENT Specialist
Manipal Hospitals,Vijayawada,"₹5,00,000",Skin Treatment,Dr. Sneha Rao,4.6,Best orthopedic surgeon
Care Hospitals,Guntur,"₹1,50,000",Chemotherapy,Dr. Sandeep Varma,4.3,Renowned dermatologist
Kamineni Hospitals,Vijayawada,"₹1,50,000",Child Vaccination,Dr. Sandeep Varma,5,Cardiac specialist
Rainbow Hospitals,Tirupati,"₹80,000",Ear Surgery,Dr. Meera Joshi,4.6,Cardiac specialist
KIMS Hospitals,Nellore,"₹2,00,000",Knee Replacement,Dr. Ramesh Kumar,4.1,Experienced general surgeon
Rainbow Hospitals,Kakinada,"₹5,00,000",Skin Treatment,Dr. Arjun Dev,4,Renowned dermatologist
Andhra Hospitals,Nellore,"₹1,50,000",Appendix Surgery,Dr. Meera Joshi,4.5,Experienced general surgeon
Manipal Hospitals,Nellore,"₹1,00,000",Knee Replacement,Dr. Anand Sharma,4.4,Expert in cardiology
Manipal Hospitals,Tirupati,"₹2,00,000",Chemotherapy,Dr. Ramesh Kumar,4.7,Pediatric specialist
Manipal Hospitals,Rajahmundry,"₹3,00,000",C-Section Delivery,Dr. Ramesh Kumar,4.8,Renowned dermatologist
Apollo Hospitals,Visakhapatnam,"₹3,00,000",Ear Surgery,Dr. Sandeep Varma,5,Top gynecologist
Aayush Hospitals,Kakinada,"₹50,000",Knee Replacement,Dr. Manish Rao,4.4,Best orthopedic surgeon
Care Hospitals,Tirupati,"₹80,000",Chemotherapy,Dr. Priya Menon,4,Experienced general surgeon
Care Hospitals,Visakhapatnam,"₹80,000",Angioplasty,Dr. Kavitha Reddy,3.6,Top gynecologist
Andhra Hospitals,Rajahmundry,"₹5,00,000",Appendix Surgery,Dr. Neha Sharma,4,Renowned dermatologist
Rainbow Hospitals,Guntur,"₹3,00,000",Child Vaccination,Dr. Kavitha Reddy,4,Expert in cardiology
Kamineni Hospitals,Vijayawada,"₹80,000",Brain Surgery,Dr. Neha Sharma,4.5,Best neurologist
Andhra Hospitals,Vijayawada,"₹1,00,000",Child Vaccination,Dr. Arjun Dev,4.5,Best neurologist
KIMS Hospitals,Kakinada,"₹50,000",Ear Surgery,Dr. Kavitha Reddy,3.6,Cardiac specialist
Care Hospitals,Nellore,"₹1,50,000",Chemotherapy,Dr. Meera Joshi,3.5,Cardiac specialist
KIMS Hospitals,Guntur,"₹1,50,000",Heart Bypass Surgery,Dr. Neha Sharma,4.1,Best orthopedic surgeon
Rainbow Hospitals,Nellore,"₹2,00,000",Appendix Surgery,Dr. Manish Rao,4.1,Oncology expert
KIMS Hospitals,Vijayawada,"₹5,00,000",Child Vaccination,Dr. Sandeep Varma,4.3,Best neurologist
KIMS Hospitals,Nellore,"₹2,00,000",Knee Replacement,Dr. Sneha Rao,4,Pediatric specialist
Andhra Hospitals,Hyderabad,"₹5,00,000",Knee Replacement,Dr. Arjun Dev,4.9,Top gynecologist
Apollo Hospitals,Guntur,"₹5,00,000",Child Vaccination,Dr. Anand Sharma,3.6,Best orthopedic surgeon
Andhra Hospitals,Visakhapatnam,"₹1,50,000",Brain Surgery,Dr. Arjun Dev,4.8,Top gynecologist
Care Hospitals,Visakhapatnam,"₹50,000",Ear Surgery,Dr. Sandeep Varma,4.8,Renowned dermatologist
Manipal Hospitals,Visakhapatnam,"₹50,000",Heart Bypass Surgery,Dr. Arjun Dev,4.4,Expert in cardiology
Omni Hospitals,Tirupati,"₹80,000",C-Section Delivery,Dr. Priya Menon,4.5,Cardiac specialist
Rainbow Hospitals,Nellore,"₹2,00,000",Child Vaccination,Dr. Priya Menon,4.1,Cardiac specialist
Omni Hospitals,Visakhapatnam,"₹80,000",Child Vaccination,Dr. Arjun Dev,4,Renowned dermatologist
Aayush Hospitals,Hyderabad,"₹5,00,000",Knee Replacement,Dr. Neha Sharma,4.7,Oncology expert
Aayush Hospitals,Visakhapatnam,"₹80,000",Brain Surgery,Dr. Arjun Dev,4.1,Renowned dermatologist
Manipal Hospitals,Tirupati,"₹80,000",Heart Bypass Surgery,Dr. Manish Rao,4.7,Experienced general surgeon
Apollo Hospitals,Nellore,"₹1,50,000",C-Section Delivery,Dr. Kavitha Reddy,4.5,Experienced general surgeon
Sunshine Hospitals,Hyderabad,"₹80,000",Child Vaccination,Dr. Priya Menon,4.1,Cardiac specialist
KIMS Hospitals,Nellore,"₹3,00,000",Skin Treatment,Dr. Manish Rao,3.6,Best neurologist
Kamineni Hospitals,Kakinada,"₹1,50,000",Appendix Surgery,Dr. Neha Sharma,3.7,Oncology expert
Apollo Hospitals,Hyderabad,"₹80,000",Child Vaccination,Dr. Ramesh Kumar,4.3,Oncology expert
Rainbow Hospitals,Tirupati,"₹50,000",Skin Treatment,Dr. Sneha Rao,4.2,Renowned dermatologist
Manipal Hospitals,Guntur,"₹80,000",Brain Surgery,Dr. Arjun Dev,3.8,Cardiac specialist
Omni Hospitals,Rajahmundry,"₹2,00,000",Child Vaccination,Dr. Neha Sharma,4.9,Experienced general surgeon
Sunshine Hospitals,Hyderabad,"₹2,00,000",Ear Surgery,Dr. Arjun Dev,4.4,Expert in cardiology
Kamineni Hospitals,Tirupati,"₹1,00,000",Chemotherapy,Dr. Ramesh Kumar,4.5,Oncology expert
Andhra Hospitals,Visakhapatnam,"₹1,00,000",Chemotherapy,Dr. Sandeep Varma,4.3,Top gynecologist
Rainbow Hospitals,Vijayawada,"₹80,000",Angioplasty,Dr. Kavitha Reddy,4,Oncology expert
Kamineni Hospitals,Tirupati,"₹3,00,000",C-Section Delivery,Dr. Anand Sharma,3.5,Pediatric specialist
Andhra Hospitals,Tirupati,"₹50,000",Child Vaccination,Dr. Arjun Dev,3.7,Experienced general surgeon
Omni Hospitals,Rajahmundry,"₹1,00,000",Skin Treatment,Dr. Kavitha Reddy,3.9,Experienced general surgeon
Manipal Hospitals,Guntur,"₹50,000",Knee Replacement,Dr. Manish Rao,4.1,Experienced general surgeon
Aayush Hospitals,Visakhapatnam,"₹2,00,000",Knee Replacement,Dr. Arjun Dev,3.5,Oncology expert
KIMS Hospitals,Vijayawada,"₹2,00,000",C-Section Delivery,Dr. Meera Joshi,5,Oncology expert
Care Hospitals,Nellore,"₹1,00,000",Ear Surgery,Dr. Meera Joshi,4.8,Best orthopedic surgeon
Apollo Hospitals,Hyderabad,"₹3,00,000",Chemotherapy,Dr. Ramesh Kumar,4.4,Cardiac specialist
Rainbow Hospitals,Hyderabad,"₹1,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.7,Renowned dermatologist
Manipal Hospitals,Vijayawada,"₹80,000",Ear Surgery,Dr. Arjun Dev,3.6,Renowned dermatologist
Rainbow Hospitals,Kakinada,"₹1,50,000",Chemotherapy,Dr. Manish Rao,3.9,Oncology expert
Sunshine Hospitals,Tirupati,"₹3,00,000",Skin Treatment,Dr. Manish Rao,4.9,Experienced general surgeon
Care Hospitals,Kakinada,"₹5,00,000",Ear Surgery,Dr. Neha Sharma,4.7,Pediatric specialist
KIMS Hospitals,Nellore,"₹2,00,000",C-Section Delivery,Dr. Sneha Rao,4.9,Pediatric specialist
Care Hospitals,Tirupati,"₹50,000",Child Vaccination,Dr. Kavitha Reddy,3.7,Top gynecologist
Kamineni Hospitals,Nellore,"₹2,00,000",Heart Bypass Surgery,Dr. Neha Sharma,4,Best orthopedic surgeon
KIMS Hospitals,Guntur,"₹3,00,000",C-Section Delivery,Dr. Neha Sharma,3.9,Expert in cardiology
Kamineni Hospitals,Guntur,"₹3,00,000",Appendix Surgery,Dr. Sandeep Varma,3.7,Oncology expert
Omni Hospitals,Hyderabad,"₹5,00,000",Heart Bypass Surgery,Dr. Arjun Dev,4.7,Best neurologist
Rainbow Hospitals,Kakinada,"₹3,00,000",Child Vaccination,Dr. Kavitha Reddy,4.9,Renowned dermatologist
Care Hospitals,Nellore,"₹1,00,000",Knee Replacement,Dr. Arjun Dev,4.6,Pediatric specialist
Aayush Hospitals,Guntur,"₹5,00,000",Ear Surgery,Dr. Manish Rao,4.8,Expert in cardiology
Manipal Hospitals,Hyderabad,"₹80,000",Knee Replacement,Dr. Kavitha Reddy,4.3,Expert in cardiology
Sunshine Hospitals,Guntur,"₹1,00,000",Brain Surgery,Dr. Arjun Dev,4.3,Top gynecologist
KIMS Hospitals,Nellore,"₹2,00,000",Brain Surgery,Dr. Arjun Dev,4.3,Best orthopedic surgeon
Andhra Hospitals,Visakhapatnam,"₹50,000",Skin Treatment,Dr. Sandeep Varma,4.3,Pediatric specialist
Aayush Hospitals,Rajahmundry,"₹3,00,000",Ear Surgery,Dr. Arjun Dev,3.8,Top gynecologist
Manipal Hospitals,Kakinada,"₹1,50,000",Knee Replacement,Dr. Neha Sharma,4.6,Cardiac specialist
Omni Hospitals,Tirupati,"₹3,00,000",Heart Bypass Surgery,Dr. Sneha Rao,4.4,Pediatric specialist
Kamineni Hospitals,Rajahmundry,"₹80,000",Heart Bypass Surgery,Dr. Anand Sharma,4.4,Top gynecologist
Care Hospitals,Kakinada,"₹1,00,000",Skin Treatment,Dr. Sandeep Varma,4.5,Expert in cardiology
Care Hospitals,Kakinada,"₹3,00,000",Heart Bypass Surgery,Dr. Priya Menon,3.9,Best orthopedic surgeon
KIMS Hospitals,Hyderabad,"₹5,00,000",Skin Treatment,Dr. Neha Sharma,4.5,Top gynecologist
Rainbow Hospitals,Guntur,"₹5,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.4,ENT Specialist
Andhra Hospitals,Guntur,"₹1,00,000",Chemotherapy,Dr. Sneha Rao,4.4,Expert in cardiology
Kamineni Hospitals,Nellore,"₹3,00,000",Knee Replacement,Dr. Kavitha Reddy,4.5,Pediatric specialist
Manipal Hospitals,Kakinada,"₹50,000",Brain Surgery,Dr. Meera Joshi,4.9,Best neurologist
KIMS Hospitals,Nellore,"₹80,000",Brain Surgery,Dr. Neha Sharma,3.9,Renowned dermatologist
Kamineni Hospitals,Vijayawada,"₹1,00,000",Chemotherapy,Dr. Meera Joshi,4.9,Top gynecologist
Omni Hospitals,Visakhapatnam,"₹80,000",Brain Surgery,Dr. Anand Sharma,4,Pediatric specialist
Manipal Hospitals,Visakhapatnam,"₹3,00,000",Ear Surgery,Dr. Manish Rao,4,Pediatric specialist
Apollo Hospitals,Nellore,"₹2,00,000",C-Section Delivery,Dr. Manish Rao,4.8,Pediatric specialist
Kamineni Hospitals,Vijayawada,"₹1,50,000",Knee Replacement,Dr. Neha Sharma,4.5,Cardiac specialist
KIMS Hospitals,Visakhapatnam,"₹5,00,000",Heart Bypass Surgery,Dr. Meera Joshi,3.9,Top gynecologist
Omni Hospitals,Kakinada,"₹1,00,000",Ear Surgery,Dr. Meera Joshi,4.3,Renowned dermatologist
Andhra Hospitals,Vijayawada,"₹1,50,000",Knee Replacement,Dr. Manish Rao,3.7,Pediatric specialist
Omni Hospitals,Hyderabad,"₹80,000",Child Vaccination,Dr. Sandeep Varma,4.4,ENT Specialist
Aayush Hospitals,Tirupati,"₹1,50,000",Ear Surgery,Dr. Kavitha Reddy,4.9,Oncology expert
Rainbow Hospitals,Tirupati,"₹1,00,000",Chemotherapy,Dr. Sandeep Varma,4.1,Renowned dermatologist
Andhra Hospitals,Tirupati,"₹3,00,000",Appendix Surgery,Dr. Manish Rao,4.5,Pediatric specialist
Omni Hospitals,Vijayawada,"₹50,000",Brain Surgery,Dr. Sandeep Varma,4.1,Pediatric specialist
KIMS Hospitals,Tirupati,"₹3,00,000",Ear Surgery,Dr. Neha Sharma,3.5,Experienced general surgeon
Kamineni Hospitals,Nellore,"₹5,00,000",Appendix Surgery,Dr. Neha Sharma,3.6,Experienced general surgeon
Manipal Hospitals,Kakinada,"₹50,000",Heart Bypass Surgery,Dr. Arjun Dev,3.6,Renowned dermatologist
KIMS Hospitals,Nellore,"₹50,000",C-Section Delivery,Dr. Arjun Dev,4.4,Pediatric specialist
Rainbow Hospitals,Nellore,"₹5,00,000",Angioplasty,Dr. Meera Joshi,3.9,Top gynecologist
Andhra Hospitals,Hyderabad,"₹1,50,000",Knee Replacement,Dr. Manish Rao,4.5,Experienced general surgeon
Manipal Hospitals,Nellore,"₹3,00,000",Angioplasty,Dr. Neha Sharma,4.7,Best orthopedic surgeon
Rainbow Hospitals,Visakhapatnam,"₹2,00,000",Appendix Surgery,Dr. Ramesh Kumar,4.5,Top gynecologist
KIMS Hospitals,Kakinada,"₹50,000",Heart Bypass Surgery,Dr. Neha Sharma,4.7,Cardiac specialist
KIMS Hospitals,Vijayawada,"₹2,00,000",Chemotherapy,Dr. Priya Menon,4,Top gynecologist
Manipal Hospitals,Rajahmundry,"₹3,00,000",C-Section Delivery,Dr. Meera Joshi,4.6,Cardiac specialist
Aayush Hospitals,Tirupati,"₹1,50,000",Heart Bypass Surgery,Dr. Priya Menon,4.7,Oncology expert
Kamineni Hospitals,Tirupati,"₹50,000",Appendix Surgery,Dr. Sandeep Varma,3.6,ENT Specialist
Omni Hospitals,Rajahmundry,"₹50,000",Brain Surgery,Dr. Sneha Rao,3.7,ENT Specialist
Manipal Hospitals,Kakinada,"₹1,50,000",C-Section Delivery,Dr. Kavitha Reddy,4.3,Cardiac specialist
Manipal Hospitals,Vijayawada,"₹2,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.5,ENT Specialist
Manipal Hospitals,Tirupati,"₹50,000",Angioplasty,Dr. Kavitha Reddy,3.9,ENT Specialist
Apollo Hospitals,Rajahmundry,"₹2,00,000",Chemotherapy,Dr. Priya Menon,4.7,Best neurologist
KIMS Hospitals,Visakhapatnam,"₹80,000",Child Vaccination,Dr. Sneha Rao,4.8,Expert in cardiology
Sunshine Hospitals,Vijayawada,"₹80,000",Appendix Surgery,Dr. Anand Sharma,3.8,Pediatric specialist
Manipal Hospitals,Nellore,"₹2,00,000",Skin Treatment,Dr. Priya Menon,3.9,ENT Specialist
Aayush Hospitals,Kakinada,"₹3,00,000",Chemotherapy,Dr. Meera Joshi,3.8,Experienced general surgeon
Andhra Hospitals,Guntur,"₹3,00,000",C-Section Delivery,Dr. Manish Rao,4.6,Expert in cardiology
Sunshine Hospitals,Visakhapatnam,"₹5,00,000",Angioplasty,Dr. Sandeep Varma,4.4,Best orthopedic surgeon
Aayush Hospitals,Nellore,"₹1,50,000",Brain Surgery,Dr. Manish Rao,4,Cardiac specialist
Andhra Hospitals,Hyderabad,"₹3,00,000",Child Vaccination,Dr. Sneha Rao,4.5,Oncology expert
Omni Hospitals,Visakhapatnam,"₹50,000",Knee Replacement,Dr. Neha Sharma,3.6,Best orthopedic surgeon
Apollo Hospitals,Vijayawada,"₹2,00,000",Child Vaccination,Dr. Sandeep Varma,4.5,Best orthopedic surgeon
Apollo Hospitals,Nellore,"₹80,000",Knee Replacement,Dr. Arjun Dev,3.6,Best neurologist
KIMS Hospitals,Vijayawada,"₹3,00,000",Ear Surgery,Dr. Ramesh Kumar,4.7,Pediatric specialist
Andhra Hospitals,Visakhapatnam,"₹80,000",Knee Replacement,Dr. Meera Joshi,4.9,ENT Specialist
Rainbow Hospitals,Hyderabad,"₹3,00,000",Appendix Surgery,Dr. Sneha Rao,4.8,Best neurologist
Sunshine Hospitals,Nellore,"₹50,000",Skin Treatment,Dr. Anand Sharma,4,Best neurologist
Aayush Hospitals,Rajahmundry,"₹1,00,000",C-Section Delivery,Dr. Neha Sharma,4.7,ENT Specialist
KIMS Hospitals,Visakhapatnam,"₹50,000",C-Section Delivery,Dr. Sandeep Varma,4.6,Best neurologist
KIMS Hospitals,Guntur,"₹2,00,000",Chemotherapy,Dr. Sandeep Varma,4.6,Pediatric specialist
Manipal Hospitals,Vijayawada,"₹1,00,000",Angioplasty,Dr. Ramesh Kumar,5,Cardiac specialist
Omni Hospitals,Kakinada,"₹50,000",C-Section Delivery,Dr. Ramesh Kumar,4.2,ENT Specialist
Aayush Hospitals,Guntur,"₹5,00,000",Skin Treatment,Dr. Priya Menon,4,ENT Specialist
Kamineni Hospitals,Rajahmundry,"₹3,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.7,Oncology expert
Rainbow Hospitals,Kakinada,"₹1,00,000",Brain Surgery,Dr. Manish Rao,4.1,Expert in cardiology
Rainbow Hospitals,Kakinada,"₹1,50,000",C-Section Delivery,Dr. Arjun Dev,3.7,Best orthopedic surgeon
Care Hospitals,Visakhapatnam,"₹1,50,000",Appendix Surgery,Dr. Arjun Dev,3.5,Best orthopedic surgeon
Apollo Hospitals,Guntur,"₹3,00,000",C-Section Delivery,Dr. Arjun Dev,4.5,ENT Specialist
Manipal Hospitals,Rajahmundry,"₹5,00,000",Chemotherapy,Dr. Priya Menon,4.8,Oncology expert
Rainbow Hospitals,Guntur,"₹2,00,000",Ear Surgery,Dr. Manish Rao,3.7,Best neurologist
Care Hospitals,Nellore,"₹3,00,000",Child Vaccination,Dr. Sneha Rao,4.4,Expert in cardiology
Kamineni Hospitals,Hyderabad,"₹3,00,000",Skin Treatment,Dr. Ramesh Kumar,4.9,Best neurologist
Andhra Hospitals,Vijayawada,"₹1,50,000",C-Section Delivery,Dr. Manish Rao,3.7,Experienced general surgeon
KIMS Hospitals,Rajahmundry,"₹1,00,000",Skin Treatment,Dr. Arjun Dev,3.9,Best orthopedic surgeon
Andhra Hospitals,Guntur,"₹2,00,000",Skin Treatment,Dr. Kavitha Reddy,4.9,Pediatric specialist
Apollo Hospitals,Vijayawada,"₹50,000",Skin Treatment,Dr. Sneha Rao,4,ENT Specialist
Andhra Hospitals,Kakinada,"₹5,00,000",Skin Treatment,Dr. Meera Joshi,4.6,ENT Specialist
KIMS Hospitals,Kakinada,"₹1,00,000",Appendix Surgery,Dr. Meera Joshi,4.5,Oncology expert
Aayush Hospitals,Nellore,"₹2,00,000",Chemotherapy,Dr. Sneha Rao,4.9,Best neurologist
Kamineni Hospitals,Nellore,"₹1,00,000",Appendix Surgery,Dr. Manish Rao,3.8,Best neurologist
Andhra Hospitals,Kakinada,"₹3,00,000",Ear Surgery,Dr. Sneha Rao,3.9,ENT Specialist
Aayush Hospitals,Rajahmundry,"₹1,00,000",C-Section Delivery,Dr. Priya Menon,5,Best orthopedic surgeon
Sunshine Hospitals,Visakhapatnam,"₹1,00,000",Brain Surgery,Dr. Ramesh Kumar,4.6,Best orthopedic surgeon
KIMS Hospitals,Rajahmundry,"₹2,00,000",Skin Treatment,Dr. Sneha Rao,4.4,Experienced general surgeon
Andhra Hospitals,Hyderabad,"₹5,00,000",Chemotherapy,Dr. Anand Sharma,3.6,Best orthopedic surgeon
Sunshine Hospitals,Kakinada,"₹2,00,000",Angioplasty,Dr. Sneha Rao,4.2,Expert in cardiology
Omni Hospitals,Hyderabad,"₹80,000",C-Section Delivery,Dr. Ramesh Kumar,4.9,Experienced general surgeon
Sunshine Hospitals,Visakhapatnam,"₹2,00,000",Child Vaccination,Dr. Meera Joshi,4.1,Pediatric specialist
Omni Hospitals,Rajahmundry,"₹50,000",Child Vaccination,Dr. Arjun Dev,4.8,Expert in cardiology
Kamineni Hospitals,Nellore,"₹3,00,000",C-Section Delivery,Dr. Anand Sharma,4.3,Top gynecologist
KIMS Hospitals,Nellore,"₹2,00,000",Skin Treatment,Dr. Arjun Dev,3.7,Top gynecologist
